Name,N,"C18:2(9,12) Mean","C18:2(9,12) SD","C18:3(6,9,12) Mean","C18:3(6,9,12) SD","C18:3(9,12,15) Mean","C18:3(9,12,15) SD","C18:4(6,9,12,15) Mean","C18:4(6,9,12,15) SD","C20:2(11,14) Mean","C20:2(11,14) SD","C20:3(8,11,14) Mean","C20:3(8,11,14) SD","C20:4(5,8,11,14) Mean","C20:4(5,8,11,14) SD","C20:3(11,14,17) Mean","C20:3(11,14,17) SD","C20:4(8,11,14,17) Mean","C20:4(8,11,14,17) SD","C20:5(5,8,11,14,17) Mean","C20:5(5,8,11,14,17) SD","C22:2(13,16) Mean","C22:2(13,16) SD","C22:5(7,10,13,16,19) Mean","C22:5(7,10,13,16,19) SD","C22:6(4,7,10,13,16,19) Mean","C22:6(4,7,10,13,16,19) SD"
Aquatic,262,6.56,9.68,0.40,0.37,4.62,5.63,1.86,1.65,0.00,0.02,0.01,0.10,2.11,1.59,0.00,0.04,0.08,0.27,8.43,5.36,0.01,0.14,0.08,0.50,0.79,1.68
Diptera,182,5.84,3.79,0.43,0.26,4.52,5.33,2.06,1.09,0.00,0.02,0.01,0.10,2.20,1.42,0.00,0.05,0.09,0.25,8.63,4.93,0.02,0.16,0.11,0.59,1.11,1.90
Chaoborus,63,4.18,1.46,0.46,0.12,2.88,0.78,2.74,0.63,0.01,0.03,0.00,0.00,3.43,1.05,0.00,0.03,0.12,0.16,10.80,3.69,0.00,0.00,0.18,0.63,2.78,2.17
Chironomidae,94,7.42,4.38,0.47,0.29,4.55,2.80,1.73,1.00,0.00,0.00,0.01,0.13,1.44,1.01,0.00,0.00,0.02,0.08,7.80,5.16,0.01,0.05,0.01,0.04,0.01,0.07
Mosquito,6,2.01,0.70,0.08,0.21,1.48,1.06,0.20,0.49,0.00,0.00,0.00,0.00,1.06,0.61,0.00,0.00,0.00,0.00,2.94,2.75,0.44,0.83,0.00,0.00,0.07,0.16
Simuliidae,19,5.90,4.20,0.19,0.36,11.87,13.83,1.53,1.34,0.00,0.00,0.02,0.10,1.41,1.14,0.03,0.14,0.39,0.61,5.84,4.84,0.00,0.00,0.36,1.40,0.18,0.36
Ephemeroptera,15,3.23,1.93,1.19,0.71,3.54,2.82,2.42,1.29,0.00,0.00,0.00,0.00,1.39,1.27,0.00,0.00,0.04,0.08,12.28,4.92,0.00,0.00,0.05,0.19,0.00,0.00
Hymenoptera,12,32.52,35.21,0.00,0.00,12.55,13.51,2.60,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.81,3.07,0.00,0.00,0.00,0.00,0.00,0.00
Megaloptera,9,4.22,1.64,0.06,0.12,1.50,0.64,0.44,0.77,0.00,0.00,0.00,0.00,2.23,0.56,0.03,0.09,0.00,0.00,4.76,1.48,0.00,0.00,0.00,0.00,0.00,0.00
Plecoptera,5,9.11,2.51,0.73,0.28,4.78,1.21,1.11,0.81,0.00,0.00,0.00,0.00,0.92,0.23,0.00,0.00,0.00,0.00,4.52,2.85,0.00,0.00,0.00,0.00,0.00,0.00
Trichoptera,39,3.63,3.17,0.11,0.15,3.84,2.13,0.84,0.62,0.00,0.00,0.03,0.13,2.71,2.23,0.00,0.00,0.11,0.47,9.35,6.62,0.01,0.06,0.00,0.00,0.00,0.00
Semi-Aquatic,32,5.86,4.69,0.11,0.19,2.94,2.50,0.11,0.21,0.00,0.00,0.02,0.08,1.06,1.04,0.00,0.00,0.11,0.61,2.44,1.83,0.87,1.67,0.00,0.00,0.00,0.00
Diptera,32,5.86,4.69,0.11,0.19,2.94,2.50,0.11,0.21,0.00,0.00,0.02,0.08,1.06,1.04,0.00,0.00,0.11,0.61,2.44,1.83,0.87,1.67,0.00,0.00,0.00,0.00
Psychodidae,32,5.86,4.69,0.11,0.19,2.94,2.50,0.11,0.21,0.00,0.00,0.02,0.08,1.06,1.04,0.00,0.00,0.11,0.61,2.44,1.83,0.87,1.67,0.00,0.00,0.00,0.00
Terrestrial,375,9.44,8.78,0.30,2.59,3.90,6.26,0.23,1.61,0.02,0.10,0.05,0.19,0.78,1.38,0.09,0.29,0.05,0.23,1.25,1.97,0.39,2.30,0.01,0.15,0.03,0.27
Blattodea,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Coleoptera,48,9.85,5.13,0.05,0.21,2.84,3.27,0.10,0.34,0.01,0.07,0.02,0.09,0.62,0.75,0.07,0.31,0.02,0.08,0.56,0.92,0.12,0.81,0.00,0.00,0.00,0.00
Asian Lady Bug,3,6.22,0.27,0.00,0.00,0.34,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bark Beetles,1,12.32,NA,0.00,NA,2.20,NA,0.00,NA,0.00,NA,0.00,NA,0.00,NA,0.00,NA,0.00,NA,0.00,NA,0.00,NA,0.00,NA,0.00,NA
Other Beetles,41,10.17,5.39,0.06,0.23,3.16,3.43,0.11,0.37,0.02,0.08,0.02,0.10,0.67,0.73,0.08,0.33,0.02,0.09,0.64,0.96,0.14,0.88,0.00,0.00,0.00,0.00
Elateridae,3,8.86,2.15,0.00,0.00,0.95,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lady Bug,3,8.86,2.15,0.00,0.00,0.95,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Collembola,12,10.94,9.39,0.14,0.33,3.35,4.28,0.00,0.00,0.11,0.27,0.20,0.47,3.74,5.14,0.21,0.50,0.26,0.63,5.68,6.98,4.47,10.04,0.00,0.00,0.00,0.00
Dermaptera,9,17.52,14.82,0.00,0.00,8.34,15.04,0.05,0.14,0.00,0.00,0.04,0.11,0.51,0.47,0.05,0.16,0.08,0.23,1.08,1.10,0.00,0.00,0.00,0.00,0.00,0.00
Diplopoda ,3,3.25,0.23,0.00,0.00,1.16,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.29,0.00,0.00,0.00,0.00,0.19,0.26,0.11,0.15,0.00,0.00,0.00,0.00
Diptera,121,9.05,9.61,0.87,4.49,1.92,2.32,0.09,0.24,0.03,0.13,0.10,0.26,1.29,1.13,0.06,0.22,0.07,0.21,2.01,1.42,0.42,1.93,0.01,0.09,0.04,0.34
Bibionidae,2,4.35,0.68,0.00,0.00,0.63,0.18,0.00,0.00,0.00,0.00,0.00,0.00,1.18,0.11,0.13,0.19,0.00,0.00,0.62,0.17,0.00,0.00,0.48,0.67,1.81,2.57
Robberfly,5,5.89,4.15,0.00,0.00,1.27,0.98,0.32,0.52,0.00,0.00,0.00,0.00,1.02,0.71,0.00,0.00,0.00,0.00,1.90,0.78,0.00,0.00,0.00,0.00,0.00,0.00
Sciaridae ,20,18.78,13.70,2.73,8.40,0.83,0.68,0.04,0.12,0.01,0.05,0.09,0.20,0.95,0.59,0.00,0.00,0.01,0.04,2.17,1.24,1.40,4.39,0.00,0.00,0.05,0.24
Syrphidae,4,7.61,0.51,0.00,0.00,7.28,5.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.62,0.00,0.00,0.00,0.00,0.00,0.00
Tabanidae,4,6.54,2.59,0.00,0.00,1.22,0.60,0.00,0.00,0.00,0.00,0.00,0.00,1.43,0.42,0.00,0.00,0.00,0.00,2.32,0.39,0.00,0.00,0.00,0.00,0.00,0.00
Terrestrial Diptera,73,6.84,8.12,0.73,4.23,2.32,2.35,0.11,0.27,0.07,0.18,0.15,0.30,1.51,1.38,0.10,0.27,0.09,0.22,2.18,1.35,0.19,0.70,0.00,0.03,0.00,0.00
Tipulidae,12,4.68,2.55,0.10,0.17,2.10,2.21,0.07,0.17,0.00,0.00,0.03,0.10,1.28,0.65,0.03,0.10,0.26,0.42,1.46,1.22,0.59,1.40,0.00,0.00,0.00,0.00
Hemiptera,64,12.34,11.42,0.00,0.04,6.43,9.37,0.01,0.08,0.01,0.04,0.01,0.09,0.06,0.23,0.07,0.21,0.01,0.06,0.13,0.46,0.25,1.08,0.03,0.18,0.05,0.43
Aphids,12,11.78,4.38,0.00,0.00,1.60,3.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.28,0.00,0.00,0.17,0.55,1.26,2.42,0.00,0.00,0.00,0.00
Cicadae,39,11.59,8.70,0.00,0.00,9.56,10.76,0.00,0.00,0.01,0.05,0.02,0.12,0.03,0.14,0.08,0.22,0.00,0.00,0.06,0.22,0.04,0.20,0.03,0.21,0.00,0.00
True Bug,12,16.48,20.90,0.03,0.09,1.22,0.99,0.07,0.18,0.00,0.00,0.00,0.00,0.23,0.45,0.07,0.15,0.04,0.13,0.37,0.84,0.06,0.15,0.04,0.13,0.29,0.99
Hymenoptera,48,6.85,4.67,0.04,0.15,3.62,4.88,0.72,1.96,0.00,0.00,0.03,0.17,0.52,0.66,0.23,0.47,0.12,0.42,1.12,1.63,0.39,1.34,0.05,0.33,0.02,0.15
Ants,6,4.66,2.90,0.17,0.28,0.42,0.48,0.82,2.01,0.00,0.00,0.00,0.00,0.49,0.64,0.00,0.00,0.14,0.35,2.29,3.49,0.06,0.14,0.00,0.00,0.00,0.00
Bee,3,4.53,0.23,0.00,0.00,6.30,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Digger Wasps,1,13.61,NA,0.00,NA,1.35,NA,0.00,NA,0.00,NA,0.00,NA,2.20,NA,0.00,NA,0.00,NA,2.02,NA,0.00,NA,0.00,NA,0.00,NA
Wasp,37,6.97,4.92,0.03,0.13,3.89,5.13,0.69,2.03,0.00,0.00,0.04,0.19,0.48,0.61,0.27,0.51,0.13,0.46,0.97,1.17,0.49,1.52,0.06,0.38,0.03,0.17
Isopoda,4,3.02,0.74,0.00,0.00,1.66,1.03,0.00,0.00,0.00,0.00,0.00,0.00,1.31,0.42,0.00,0.00,0.00,0.00,0.80,0.19,0.00,0.00,0.00,0.00,0.00,0.00
Ixodida,1,0.83,NA,0.00,NA,0.00,NA,0.00,NA,0.00,NA,0.00,NA,0.85,NA,0.00,NA,0.00,NA,0.00,NA,0.00,NA,0.00,NA,0.00,NA
Lepidoptera,22,5.10,4.35,0.00,0.00,10.94,8.72,1.25,5.85,0.00,0.00,0.00,0.00,0.05,0.17,0.13,0.29,0.00,0.00,0.82,0.60,0.02,0.08,0.00,0.00,0.00,0.00
Caterpillar,5,7.77,7.53,0.00,0.00,9.25,4.51,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.33,0.00,0.00,0.00,0.00,0.65,0.76,0.00,0.00,0.00,0.00,0.00,0.00
Moths,17,4.32,2.78,0.00,0.00,11.44,9.67,1.61,6.65,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.32,0.00,0.00,0.87,0.56,0.02,0.10,0.00,0.00,0.00,0.00
Mecoptera,6,10.07,2.58,0.00,0.00,2.82,1.41,0.77,1.20,0.05,0.13,0.00,0.00,1.18,0.38,0.06,0.15,0.00,0.00,1.89,0.93,0.00,0.00,0.00,0.00,0.07,0.18
Neuroptera,6,15.18,4.61,0.00,0.00,1.05,1.17,0.12,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Opiliones,6,6.40,1.45,0.03,0.08,1.88,1.11,0.00,0.00,0.09,0.14,0.00,0.00,0.96,0.58,0.03,0.08,0.00,0.00,1.81,0.50,0.00,0.00,0.00,0.00,0.00,0.00
Oribatida ,3,13.66,8.00,0.00,0.00,1.93,0.38,0.00,0.00,0.20,0.34,0.00,0.00,0.21,0.36,0.00,0.00,0.00,0.00,0.59,1.03,0.00,0.00,0.00,0.00,0.00,0.00
Orthoptera,6,16.67,6.61,0.00,0.00,4.60,2.28,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.41,0.00,0.00,0.00,0.00,0.15,0.38,0.00,0.00,0.00,0.00,0.00,0.00
Grasshopper,3,14.41,1.46,0.00,0.00,3.84,3.04,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Locust,3,18.93,9.58,0.00,0.00,5.37,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.37,0.00,0.00,0.00,0.00,0.31,0.53,0.00,0.00,0.00,0.00,0.00,0.00
Pseudoscorpiones,1,3.61,NA,0.00,NA,0.00,NA,0.00,NA,0.00,NA,0.00,NA,2.28,NA,0.00,NA,0.00,NA,3.79,NA,0.00,NA,0.00,NA,0.00,NA
Psocoptera,4,5.87,4.93,0.00,0.00,1.27,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Raphidioptera,1,12.06,NA,0.00,NA,0.53,NA,0.00,NA,0.00,NA,0.00,NA,1.26,NA,0.00,NA,0.52,NA,0.91,NA,0.00,NA,0.00,NA,0.00,NA
Thysanoptera,4,4.52,2.99,0.00,0.00,13.92,7.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.15,0.00,0.00,0.90,0.68,0.00,0.00,0.00,0.00,0.00,0.00